,title,href,company,description,salary
21,Специалист по ценообразованию,https://spb.hh.ru/vacancy/52297450?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Деловые Линии,"Обеспечение актуальности прайс-листов, размещенных на открытых источниках, исходя из изменений прайс-листов, согласно установленному Регламенту. Загрузка данных по стоимости...У Вас есть опыт работы с массивами данных. Опыт участия в автоматизации системы ценообразования (будет преимуществом). Вы уверенный пользователь ПК...",до 73 600 руб.
22,Экономист,https://spb.hh.ru/vacancy/54635429?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,АО Концерн Энерготехнологии,"Контроль получения счетов-фактур от поставщиков, проверка и внесение в 1С данных по ним. Расчет и начисления коммунальных платежей. Высшее экономическое образование. Опыт работы экономистом от 3х лет, (в приоритете - опыт работы в данной должности в управляющих компаниях...",50 000 – 55 000 руб.
23,Финансовый менеджер,https://spb.hh.ru/vacancy/54662531?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,GW Fitness,"Бюджетирование долгосрочное, краткосрочное. Контроль исполнения бюджета (план/факт, анализ отклонений). Анализ финансовых результатов компании в разрезе подразделений, проектов. Высшее экономическое образование. Знание методик сбора, обработки и хранения больших объемов данных, в т.ч. неструктурированных и разнородных. ",от 60 000 руб.
24,Старший экономист,https://spb.hh.ru/vacancy/49539059?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Кистоун Лоджистикс,Анализ и контроль ведения учета в части своего ЦФО. Участие в автоматизации процессов сбора данных из разных информационных систем. Анализ...Высшее экономическое образование в области экономики и финансов. Знание основ управленческого и бухгалтерского учета. Опыт работы по направлению от 1...,от 70 000 руб.
25,Экономист,https://spb.hh.ru/vacancy/54394378?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Энергорок-1,"Анализ экономической деятельности предприятия. Расчеты экономических показателей по потребителям. Сверка потребленных объемов. Подготовка и отправка необходимых отчетов.Начинающий специалист (в т.ч., студент). Высшее экономическое образование в сфере энергетики, возможно предоставление учебного отпуска. Ответственность, пунктуальность.",от 40 000 руб.
26,Стажер по проектам (отдел управления проектами и аудитом выкладки),https://spb.hh.ru/vacancy/54140151?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,"Лента, федеральная розничная сеть, Начало карьеры","...торгового оборудования и товаров, в соответствии с нормативами. Работа в программах FloorPlan и Space Planning. Ведение отчётности и анализ данных.Cтуденты последних курсов и выпускники ВУЗов (экономика, маркетинг и технические направления). Знание программ ПК: MS Office (Excel, Word, Outlook). ",20 800 – 34 600 руб.
27,Экономист,https://spb.hh.ru/vacancy/54201087?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,АО НПО ГОИ им. С.И. Вавилова,"Работа с договорами (составление, ведение, согласование), ведение базы данных по договорам. Подготовка данных для планово-экономических нормативов предприятия. Высшее экономическое образование, опыт работы от 3-х лет. Опыт работы в сфере ГОЗ, знание нормативных документов по ценообразованию в...",от 55 000 руб.
28,Ведущий экономист отдела финансово-экономического планирования и анализа,https://spb.hh.ru/vacancy/54241772?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Северо-Западное главное региональное управление - филиал объединения РОСИНКАС,"Сбор, обработка статистических материалов, составление аналитических таблиц по показателям. Составление калькуляций. Участие в подготовке, составлении текущей и квартальной отчетности. Образование высшее/среднее (экономическое). Уверенный пользователь ПК (Word, Exсel). Коммуникабельность, точность и скрупулезность при работе с цифрами. Опыт экономической работы...",от 40 000 руб.
29,Специалист отдела международных долговых рынков/проект по индексам,https://spb.hh.ru/vacancy/54658759?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Cbonds.ru,"Развитие проекта по индексам Cbonds: Ведение базы данных (поиск и ввод данных, сверка данных, контроль систем автоматического ввода данных). Высшее экономическое / техническое образование (можно неоконченное, желательно с математическим уклоном). Знание основных понятий финансового рынка. Английский язык - от В2. ",от 55 000 руб.
30,Системный аналитик / IT аналитик,https://spb.hh.ru/vacancy/51799231?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Артеко,"Сбор, анализ, формализация бизнес-требований заказчика. Постановка задач, разработка документов для разработчиков. Согласование с бизнес-пользователями объема и приоритета задач. Понимание способов интеграции приложений\сервисов. Знание методологий системного анализа, владение и опыт применения современных методик управления требованиями. Понимание принципа разработки...",120 000 – 200 000 руб.
